epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4588,3.97108,6.40456,4.12927,0,0,0,0,4.0003,5.01794,4.21282,0.00330357,0.00330357,0.00330357
2,92.2875,2.89001,4.96289,2.89857,0.09209,0.19632,0.06035,0.02256,2.33899,4.98587,2.48186,0.00663252,0.00663252,0.00663252
3,141.047,2.12929,3.39267,2.07199,0.10908,0.12703,0.02774,0.0136,2.13934,9.1054,2.33617,0.00995708,0.00995708,0.00995708
4,187.251,1.72675,2.62422,1.7392,0.25604,0.45075,0.25449,0.12746,1.63331,2.58741,1.82025,0.0099802,0.0099802,0.0099802
5,233.199,1.54957,2.17444,1.59155,0.33482,0.55659,0.37482,0.22263,1.36502,2.06313,1.59384,0.0099736,0.0099736,0.0099736
6,279.134,1.46395,1.89685,1.51125,0.46928,0.56367,0.52021,0.30683,1.41714,1.80334,1.61457,0.009967,0.009967,0.009967
7,325.018,1.38761,1.69273,1.45719,0.44542,0.55433,0.48119,0.29978,1.32452,2.10078,1.53208,0.0099604,0.0099604,0.0099604
8,370.84,1.34725,1.56077,1.42121,0.56481,0.65385,0.64956,0.42519,1.18307,1.40613,1.41296,0.0099538,0.0099538,0.0099538
9,416.739,1.30326,1.46202,1.38974,0.615,0.6868,0.69422,0.4555,1.18446,1.3452,1.41808,0.0099472,0.0099472,0.0099472
10,462.601,1.27257,1.38096,1.36655,0.6022,0.70267,0.69428,0.45382,1.18723,1.21063,1.40503,0.0099406,0.0099406,0.0099406
11,508.469,1.25099,1.29313,1.3485,0.58089,0.73505,0.71015,0.47896,1.12647,1.17253,1.35011,0.009934,0.009934,0.009934
12,554.251,1.23008,1.22441,1.33348,0.66235,0.72906,0.76036,0.50569,1.13453,1.09421,1.35505,0.0099274,0.0099274,0.0099274
13,600.068,1.21169,1.177,1.32313,0.72397,0.72792,0.79239,0.53984,1.07779,1.07434,1.31241,0.0099208,0.0099208,0.0099208
14,645.982,1.19429,1.14446,1.31071,0.7082,0.73829,0.798,0.5469,1.08941,1.00758,1.31734,0.0099142,0.0099142,0.0099142
15,691.798,1.17734,1.09181,1.29647,0.72932,0.73928,0.82693,0.5777,1.05943,0.94413,1.28946,0.0099076,0.0099076,0.0099076
16,737.582,1.15984,1.06599,1.28848,0.74754,0.78409,0.84711,0.5986,1.02624,0.89176,1.26495,0.009901,0.009901,0.009901
17,783.364,1.15064,1.03886,1.27222,0.76388,0.78615,0.85984,0.60757,1.03451,0.8596,1.27223,0.0098944,0.0098944,0.0098944
18,829.158,1.14163,1.00544,1.26224,0.76094,0.78881,0.85082,0.5936,1.05506,0.87659,1.2856,0.0098878,0.0098878,0.0098878
19,874.977,1.12939,0.96619,1.26055,0.79568,0.79565,0.86573,0.60916,1.03655,0.82419,1.28152,0.0098812,0.0098812,0.0098812
20,920.72,1.11918,0.95147,1.25286,0.79457,0.80542,0.88151,0.63681,1.00804,0.78659,1.25306,0.0098746,0.0098746,0.0098746
21,966.48,1.10976,0.93843,1.25039,0.8045,0.81004,0.88623,0.6321,1.02144,0.7922,1.25799,0.009868,0.009868,0.009868
22,1012.26,1.10177,0.91055,1.24264,0.80545,0.82264,0.88935,0.64414,0.99654,0.75624,1.24133,0.0098614,0.0098614,0.0098614
23,1058.02,1.08607,0.89539,1.23123,0.83634,0.82426,0.90008,0.65646,0.98541,0.72645,1.23414,0.0098548,0.0098548,0.0098548
24,1103.76,1.08926,0.88107,1.23442,0.83886,0.82787,0.90965,0.6618,0.98661,0.71858,1.22903,0.0098482,0.0098482,0.0098482
25,1149.57,1.08097,0.85997,1.2218,0.81141,0.80474,0.88009,0.63817,0.97593,0.76561,1.22187,0.0098416,0.0098416,0.0098416
26,1195.37,1.08132,0.85271,1.22541,0.82955,0.84863,0.91467,0.67042,0.96229,0.69329,1.21693,0.009835,0.009835,0.009835
27,1241.21,1.06419,0.83909,1.21194,0.83411,0.83995,0.91036,0.6618,0.9769,0.71042,1.22355,0.0098284,0.0098284,0.0098284
28,1286.94,1.06125,0.83097,1.21275,0.86267,0.84374,0.92435,0.67813,0.96491,0.67019,1.21164,0.0098218,0.0098218,0.0098218
29,1332.68,1.05632,0.81492,1.2087,0.87723,0.85507,0.93526,0.69131,0.94949,0.63918,1.20503,0.0098152,0.0098152,0.0098152
30,1378.46,1.05498,0.80509,1.20466,0.8732,0.8661,0.93753,0.69104,0.94924,0.6314,1.20418,0.0098086,0.0098086,0.0098086
31,1424.26,1.04618,0.7933,1.20348,0.86645,0.88542,0.94577,0.70511,0.9328,0.61572,1.18609,0.009802,0.009802,0.009802
32,1470.03,1.03777,0.78139,1.19793,0.87482,0.88219,0.9474,0.70493,0.93814,0.59989,1.19316,0.0097954,0.0097954,0.0097954
33,1515.78,1.02987,0.77007,1.1935,0.87663,0.87895,0.94433,0.70237,0.94374,0.6002,1.19794,0.0097888,0.0097888,0.0097888
34,1561.6,1.03568,0.77734,1.19565,0.86835,0.88706,0.94163,0.70226,0.93592,0.60982,1.19096,0.0097822,0.0097822,0.0097822
35,1607.43,1.02226,0.75847,1.1853,0.89871,0.88835,0.95447,0.71515,0.92522,0.57399,1.18545,0.0097756,0.0097756,0.0097756
36,1653.18,1.0277,0.75243,1.18933,0.88966,0.88216,0.94659,0.71359,0.92464,0.58466,1.18157,0.009769,0.009769,0.009769
37,1698.93,1.02083,0.74506,1.18517,0.89236,0.87576,0.94661,0.71147,0.92411,0.60251,1.1816,0.0097624,0.0097624,0.0097624
38,1744.66,1.01359,0.73274,1.17931,0.88477,0.87536,0.94375,0.70779,0.93184,0.60656,1.18337,0.0097558,0.0097558,0.0097558
39,1790.47,1.01804,0.7322,1.18164,0.89546,0.88804,0.95127,0.71541,0.91848,0.56763,1.17913,0.0097492,0.0097492,0.0097492
40,1836.2,1.01414,0.72263,1.18228,0.89166,0.88667,0.95173,0.71847,0.91343,0.56722,1.17277,0.0097426,0.0097426,0.0097426
41,1881.98,1.00728,0.72051,1.17572,0.90781,0.911,0.9627,0.72621,0.90651,0.5308,1.16806,0.009736,0.009736,0.009736
42,1927.83,0.9992,0.71639,1.17294,0.8981,0.90059,0.95826,0.72368,0.90819,0.54721,1.16923,0.0097294,0.0097294,0.0097294
43,1973.66,1.00396,0.70693,1.17128,0.89897,0.89462,0.95104,0.72023,0.90585,0.562,1.16972,0.0097228,0.0097228,0.0097228
44,2019.38,0.99554,0.7011,1.16676,0.9176,0.92114,0.96692,0.73743,0.90118,0.51041,1.1625,0.0097162,0.0097162,0.0097162
45,2065.14,0.99435,0.69052,1.16502,0.91218,0.91186,0.96407,0.73489,0.9004,0.51608,1.15867,0.0097096,0.0097096,0.0097096
46,2110.95,0.98889,0.69482,1.16494,0.91507,0.91836,0.96443,0.74064,0.89631,0.50901,1.15477,0.009703,0.009703,0.009703
47,2156.77,0.985,0.68108,1.16146,0.91761,0.9188,0.96875,0.73893,0.88687,0.51058,1.15194,0.0096964,0.0096964,0.0096964
48,2202.54,0.98723,0.68293,1.16059,0.9246,0.92126,0.97063,0.74502,0.88367,0.49296,1.14651,0.0096898,0.0096898,0.0096898
49,2248.36,0.98492,0.67849,1.16663,0.93422,0.92812,0.97417,0.75148,0.88072,0.47981,1.14539,0.0096832,0.0096832,0.0096832
50,2294.17,0.98444,0.67125,1.15679,0.92426,0.92202,0.96942,0.75013,0.87141,0.49275,1.13986,0.0096766,0.0096766,0.0096766
51,2339.98,0.97664,0.66521,1.15712,0.92252,0.92996,0.97221,0.74993,0.88087,0.48661,1.14558,0.00967,0.00967,0.00967
52,2385.72,0.976,0.66813,1.15582,0.93607,0.93236,0.97307,0.7483,0.87477,0.4781,1.14003,0.0096634,0.0096634,0.0096634
53,2431.51,0.97685,0.66365,1.1547,0.91838,0.92373,0.96887,0.74831,0.87439,0.48865,1.14161,0.0096568,0.0096568,0.0096568
54,2477.31,0.97191,0.65303,1.15499,0.93738,0.9389,0.9754,0.75605,0.87001,0.46557,1.13556,0.0096502,0.0096502,0.0096502
55,2523.1,0.96569,0.65379,1.14922,0.93611,0.93104,0.9746,0.75335,0.86896,0.47228,1.13467,0.0096436,0.0096436,0.0096436
56,2568.86,0.97007,0.65044,1.15178,0.94345,0.93237,0.97769,0.75878,0.87115,0.46201,1.13538,0.009637,0.009637,0.009637
57,2614.66,0.96309,0.64729,1.14907,0.93526,0.93527,0.97585,0.76036,0.85802,0.45953,1.12784,0.0096304,0.0096304,0.0096304
58,2660.46,0.96455,0.65356,1.14842,0.92468,0.92411,0.96987,0.75304,0.86282,0.48556,1.13203,0.0096238,0.0096238,0.0096238
59,2706.22,0.96439,0.64085,1.14581,0.93877,0.93948,0.9767,0.76041,0.85136,0.44856,1.12424,0.0096172,0.0096172,0.0096172
60,2751.97,0.9685,0.64081,1.14821,0.9363,0.9409,0.97948,0.76412,0.85885,0.4488,1.12957,0.0096106,0.0096106,0.0096106
