epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.418,3.98866,6.52269,4.21566,0,0,0,0,3.95886,5.02618,4.21935,0.00329545,0.00329545,0.00329545
2,90.0609,2.94372,5.13815,3.00851,0.03356,0.15155,0.02158,0.00632,2.6312,6.8396,2.83787,0.00662441,0.00662441,0.00662441
3,135.612,2.20899,3.51234,2.13496,0.08887,0.22625,0.07077,0.02684,2.09342,3.63677,2.26827,0.00994897,0.00994897,0.00994897
4,181.51,1.80683,2.71836,1.77503,0.16559,0.25816,0.11717,0.05672,1.82039,4.71997,2.00359,0.0099802,0.0099802,0.0099802
5,226.532,1.59461,2.25635,1.609,0.34944,0.54292,0.42209,0.23983,1.46126,1.88308,1.66102,0.0099736,0.0099736,0.0099736
6,271.452,1.48505,1.97015,1.51931,0.34898,0.48885,0.37765,0.22155,1.40604,2.15988,1.59728,0.009967,0.009967,0.009967
7,316.812,1.41673,1.75228,1.46608,0.47019,0.609,0.53346,0.33094,1.27146,1.67737,1.48263,0.0099604,0.0099604,0.0099604
8,362.047,1.36624,1.61324,1.42316,0.56206,0.58271,0.5974,0.36633,1.31834,1.91917,1.51965,0.0099538,0.0099538,0.0099538
9,407.336,1.31522,1.50859,1.39399,0.51464,0.6629,0.64446,0.42503,1.17577,1.45625,1.39609,0.0099472,0.0099472,0.0099472
10,452.686,1.30199,1.41132,1.37558,0.57889,0.60827,0.62774,0.40683,1.20463,1.46477,1.41985,0.0099406,0.0099406,0.0099406
11,497.863,1.25789,1.32813,1.34511,0.59297,0.66993,0.66895,0.43372,1.18547,1.37005,1.4067,0.009934,0.009934,0.009934
12,543.015,1.2346,1.25487,1.3314,0.71335,0.72884,0.79061,0.52751,1.13974,1.08975,1.36112,0.0099274,0.0099274,0.0099274
13,588.227,1.21882,1.21187,1.32712,0.65987,0.6917,0.74024,0.50748,1.11697,1.16634,1.34657,0.0099208,0.0099208,0.0099208
14,633.429,1.20523,1.16493,1.31289,0.75838,0.73686,0.8325,0.57635,1.07975,0.98178,1.30786,0.0099142,0.0099142,0.0099142
15,678.571,1.18687,1.12609,1.30474,0.72606,0.7231,0.79761,0.55712,1.06779,1.03366,1.30792,0.0099076,0.0099076,0.0099076
16,723.607,1.17995,1.09434,1.29526,0.77364,0.74945,0.84279,0.58766,1.06964,0.94213,1.30581,0.009901,0.009901,0.009901
17,768.744,1.15165,1.03521,1.27237,0.72655,0.72228,0.79692,0.55224,1.08074,1.05628,1.32068,0.0098944,0.0098944,0.0098944
18,813.796,1.14961,1.01165,1.27075,0.77773,0.79856,0.86517,0.60581,1.06245,0.87727,1.29389,0.0098878,0.0098878,0.0098878
19,858.838,1.13755,0.98553,1.26244,0.79519,0.78292,0.86664,0.60423,1.06954,0.85936,1.30775,0.0098812,0.0098812,0.0098812
20,903.854,1.12676,0.95493,1.25709,0.75457,0.79165,0.85196,0.59731,1.03424,0.85578,1.26847,0.0098746,0.0098746,0.0098746
