epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1624.11,0.99169,0.69809,1.16933,0.91044,0.89318,0.95632,0.7293,0.8867,0.56148,1.15709,0.0097294,0.0097294,0.0097294
43,1662.46,0.98996,0.69925,1.16473,0.92247,0.89823,0.96367,0.73731,0.88615,0.53362,1.15959,0.0097228,0.0097228,0.0097228
44,1700.81,0.98486,0.68441,1.16099,0.91063,0.90588,0.96138,0.73607,0.88526,0.53363,1.15813,0.0097162,0.0097162,0.0097162
45,1739.18,0.98501,0.68055,1.15877,0.92506,0.90608,0.96701,0.74225,0.87587,0.51139,1.15387,0.0097096,0.0097096,0.0097096
46,1777.5,0.9742,0.67436,1.15944,0.92597,0.90578,0.96576,0.73887,0.889,0.52754,1.16337,0.009703,0.009703,0.009703
47,1815.88,0.98388,0.67449,1.16129,0.92752,0.91058,0.96846,0.74442,0.87389,0.50381,1.14807,0.0096964,0.0096964,0.0096964
48,1854.25,0.98145,0.67113,1.15991,0.92178,0.90606,0.96439,0.73642,0.88959,0.52145,1.159,0.0096898,0.0096898,0.0096898
49,1892.62,0.97848,0.67297,1.15834,0.92394,0.92765,0.97144,0.74643,0.86941,0.4959,1.14553,0.0096832,0.0096832,0.0096832
50,1930.95,0.96846,0.65235,1.14768,0.92567,0.92281,0.97094,0.74678,0.87387,0.49632,1.14477,0.0096766,0.0096766,0.0096766
51,1969.33,0.97086,0.65688,1.14893,0.91321,0.90682,0.96463,0.74383,0.86594,0.52102,1.14427,0.00967,0.00967,0.00967
52,2007.66,0.96605,0.65039,1.15027,0.92665,0.91843,0.96657,0.74643,0.86326,0.50028,1.13631,0.0096634,0.0096634,0.0096634
53,2046.04,0.96451,0.65027,1.14856,0.93008,0.91967,0.97078,0.75156,0.86453,0.49106,1.14403,0.0096568,0.0096568,0.0096568
54,2084.38,0.96212,0.64612,1.14767,0.92161,0.92015,0.9688,0.74986,0.86497,0.49318,1.1419,0.0096502,0.0096502,0.0096502
55,2122.76,0.95527,0.63926,1.14418,0.93136,0.92513,0.97264,0.75078,0.86828,0.48305,1.1444,0.0096436,0.0096436,0.0096436
56,2161.12,0.96424,0.64178,1.1438,0.93319,0.93579,0.97601,0.75991,0.84692,0.46521,1.13171,0.009637,0.009637,0.009637
57,2199.51,0.96009,0.6387,1.14309,0.94373,0.93314,0.97762,0.7628,0.84989,0.458,1.13229,0.0096304,0.0096304,0.0096304
58,2237.91,0.95354,0.63705,1.14122,0.92679,0.93351,0.97403,0.75745,0.8488,0.47038,1.12916,0.0096238,0.0096238,0.0096238
59,2276.29,0.95721,0.63051,1.14506,0.9444,0.93466,0.97907,0.7626,0.84971,0.45666,1.13325,0.0096172,0.0096172,0.0096172
60,2314.66,0.95215,0.63129,1.14109,0.94687,0.93015,0.97682,0.76087,0.85044,0.45484,1.12712,0.0096106,0.0096106,0.0096106
61,2354.4,0.94997,0.62413,1.13732,0.94348,0.93936,0.97745,0.7647,0.84559,0.45105,1.12676,0.009604,0.009604,0.009604
62,2394.29,0.95148,0.62357,1.13882,0.94174,0.93031,0.97654,0.76539,0.84163,0.45576,1.12378,0.0095974,0.0095974,0.0095974
