epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3287,3.80206,6.31146,4.0954,0,0,0,0,3.96405,5.05318,4.18673,0.00329749,0.00329749,0.00329749
2,53.9484,2.73964,4.52671,2.76321,0.10518,0.24854,0.072,0.02493,2.27294,3.36551,2.47815,0.00662645,0.00662645,0.00662645
3,80.3293,2.11064,3.29703,2.07722,0.19201,0.34162,0.16582,0.07607,1.91422,3.03032,2.11239,0.00995101,0.00995101,0.00995101
4,106.629,1.75322,2.64082,1.75309,0.3116,0.44845,0.31258,0.15496,1.76444,2.80129,1.98611,0.0099802,0.0099802,0.0099802
5,132.815,1.564,2.20012,1.59691,0.35838,0.48475,0.37229,0.2127,1.43475,2.42605,1.64731,0.0099736,0.0099736,0.0099736
6,159.125,1.48478,1.8997,1.52962,0.39585,0.60041,0.47281,0.29204,1.29289,2.00721,1.50722,0.009967,0.009967,0.009967
7,185.192,1.40349,1.68435,1.46696,0.46955,0.56268,0.5224,0.32755,1.33455,1.66015,1.51721,0.0099604,0.0099604,0.0099604
13,343.286,1.2082,1.13783,1.31949,0.59529,0.58035,0.5921,0.37748,1.34468,1.52147,1.55227,0.0099208,0.0099208,0.0099208
14,369.547,1.19319,1.07991,1.30718,0.73593,0.79748,0.84497,0.58714,1.08397,0.91507,1.3157,0.0099142,0.0099142,0.0099142
15,395.732,1.17707,1.05247,1.29989,0.63005,0.75026,0.76077,0.53176,1.07086,1.0738,1.30055,0.0099076,0.0099076,0.0099076
16,421.838,1.16317,1.02991,1.29561,0.7619,0.79326,0.84729,0.58681,1.08294,0.91336,1.31563,0.009901,0.009901,0.009901
