epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2868.82,0.98938,0.68718,1.16943,0.93313,0.91774,0.97037,0.73944,0.89258,0.49629,1.16188,0.0097294,0.0097294,0.0097294
43,2937.71,0.99145,0.68542,1.17003,0.91479,0.91083,0.96747,0.73686,0.88402,0.51002,1.15893,0.0097228,0.0097228,0.0097228
44,3006.61,0.99199,0.6809,1.16863,0.91345,0.89147,0.96293,0.73286,0.89089,0.51995,1.16538,0.0097162,0.0097162,0.0097162
45,3075.48,0.98848,0.67876,1.16521,0.92097,0.92074,0.96808,0.74074,0.88101,0.48972,1.15946,0.0097096,0.0097096,0.0097096
46,3144.35,0.98037,0.66887,1.16035,0.91858,0.92104,0.96612,0.74105,0.88334,0.49114,1.15841,0.009703,0.009703,0.009703
47,3213.28,0.98746,0.66821,1.16312,0.92344,0.92258,0.97129,0.74924,0.86485,0.47428,1.14462,0.0096964,0.0096964,0.0096964
48,3282.15,0.98195,0.66234,1.1634,0.93036,0.92702,0.97298,0.74807,0.8729,0.472,1.14884,0.0096898,0.0096898,0.0096898
49,3351.08,0.97503,0.65638,1.16142,0.94428,0.91844,0.97345,0.75122,0.87017,0.47104,1.14812,0.0096832,0.0096832,0.0096832
50,3420.05,0.97788,0.64995,1.15533,0.92963,0.92262,0.97412,0.75275,0.86808,0.46794,1.14327,0.0096766,0.0096766,0.0096766
51,3488.98,0.97091,0.64896,1.15624,0.9233,0.93393,0.97195,0.75021,0.86376,0.46473,1.14124,0.00967,0.00967,0.00967
52,3557.91,0.96236,0.63459,1.1538,0.93278,0.93198,0.97363,0.75487,0.86024,0.45773,1.14094,0.0096634,0.0096634,0.0096634
53,3626.78,0.96733,0.64428,1.15185,0.95239,0.92393,0.97813,0.76134,0.85565,0.44214,1.13405,0.0096568,0.0096568,0.0096568
54,3695.73,0.96814,0.64265,1.15306,0.93973,0.92974,0.97684,0.75786,0.86093,0.45295,1.1393,0.0096502,0.0096502,0.0096502
55,3764.63,0.96015,0.62918,1.14893,0.94579,0.93356,0.97929,0.76099,0.85677,0.44052,1.13627,0.0096436,0.0096436,0.0096436
56,3833.47,0.95933,0.62766,1.15088,0.953,0.93623,0.98146,0.76462,0.85235,0.43268,1.13198,0.009637,0.009637,0.009637
57,3902.38,0.96167,0.62592,1.14702,0.94664,0.94767,0.98172,0.76627,0.85112,0.42754,1.13223,0.0096304,0.0096304,0.0096304
58,3971.26,0.96236,0.63063,1.14565,0.94957,0.93743,0.98083,0.76735,0.85004,0.43138,1.13145,0.0096238,0.0096238,0.0096238
59,4040.15,0.95737,0.62012,1.14786,0.94888,0.93204,0.97966,0.7686,0.84568,0.43042,1.129,0.0096172,0.0096172,0.0096172
60,4109.09,0.96233,0.62768,1.14762,0.94701,0.95361,0.98223,0.77135,0.84113,0.41943,1.12344,0.0096106,0.0096106,0.0096106
