epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9676,1.20774,4.05442,1.11347,0.03265,0.92481,0.11428,0.08471,0.92267,3.2226,0.9272,0.00329749,0.00329749,0.00329749
2,73.6599,1.11034,2.46658,1.0663,0.3597,0.46512,0.36544,0.25402,0.99957,2.18184,1.03173,0.00662645,0.00662645,0.00662645
3,110.419,1.10312,1.91082,1.06374,0.33581,0.24068,0.12463,0.08391,1.33127,4.26725,1.27963,0.00995101,0.00995101,0.00995101
4,146.911,1.11713,1.69107,1.069,0.28191,0.25106,0.18087,0.11625,1.23094,4.9474,1.17149,0.0099802,0.0099802,0.0099802
5,183.365,1.08118,1.39899,1.05889,0.56818,0.60649,0.5938,0.40291,1.07845,1.6225,1.08847,0.0099736,0.0099736,0.0099736
6,219.765,1.05979,1.23466,1.05102,0.64488,0.61702,0.63864,0.44361,1.05479,1.5549,1.08244,0.009967,0.009967,0.009967
7,256.197,1.03743,1.09549,1.03872,0.6523,0.68782,0.73053,0.51433,1.0061,1.21622,1.0417,0.0099604,0.0099604,0.0099604
8,292.664,1.02761,1.00629,1.03172,0.73583,0.71306,0.78671,0.57142,0.95605,1.11648,1.02284,0.0099538,0.0099538,0.0099538
9,329.128,1.00511,0.92902,1.02513,0.79838,0.77769,0.86148,0.63381,0.93127,0.8954,1.00508,0.0099472,0.0099472,0.0099472
10,365.54,0.99226,0.89058,1.01859,0.77891,0.77945,0.8627,0.62889,0.93458,0.91564,0.9995,0.0099406,0.0099406,0.0099406
11,401.938,0.98569,0.85824,1.01733,0.80583,0.78893,0.86876,0.63168,0.96374,0.84567,1.02637,0.009934,0.009934,0.009934
12,438.334,0.9769,0.82582,1.01085,0.78066,0.75173,0.82336,0.61099,0.91231,0.96168,0.98745,0.0099274,0.0099274,0.0099274
13,474.823,0.97187,0.80205,1.012,0.83041,0.82039,0.89619,0.6702,0.89038,0.77816,0.99071,0.0099208,0.0099208,0.0099208
14,511.195,0.96606,0.78929,1.00597,0.82856,0.82013,0.89494,0.64844,0.94952,0.76761,1.01855,0.0099142,0.0099142,0.0099142
15,547.558,0.95792,0.76063,1.00776,0.82995,0.80281,0.89755,0.67012,0.86452,0.80932,0.98112,0.0099076,0.0099076,0.0099076
16,583.9,0.94675,0.73583,0.99968,0.87494,0.86256,0.92844,0.70735,0.85637,0.65042,0.96312,0.009901,0.009901,0.009901
