epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2021.18,0.99673,0.71796,1.17395,0.92986,0.92138,0.97349,0.75014,0.8688,0.4948,1.13958,0.0097294,0.0097294,0.0097294
43,2068.58,0.99174,0.70965,1.16989,0.93201,0.92544,0.97607,0.75202,0.86566,0.48066,1.1373,0.0097228,0.0097228,0.0097228
44,2115.64,0.98601,0.70423,1.1685,0.94299,0.92835,0.97563,0.75285,0.86358,0.47959,1.13635,0.0097162,0.0097162,0.0097162
45,2162.73,0.98684,0.69984,1.16158,0.94265,0.92286,0.97679,0.75483,0.85948,0.47616,1.13352,0.0097096,0.0097096,0.0097096
46,2209.99,0.98207,0.69932,1.15983,0.9465,0.93273,0.97859,0.75783,0.86485,0.46712,1.13596,0.009703,0.009703,0.009703
47,2257.12,0.97697,0.69361,1.16082,0.94398,0.93183,0.97696,0.7573,0.85945,0.46707,1.13184,0.0096964,0.0096964,0.0096964
48,2304.3,0.97361,0.68038,1.15457,0.94648,0.93142,0.97893,0.76005,0.85782,0.46008,1.13144,0.0096898,0.0096898,0.0096898
49,2351.46,0.98087,0.69141,1.16392,0.94374,0.94342,0.97931,0.76068,0.85479,0.45748,1.12904,0.0096832,0.0096832,0.0096832
50,2398.56,0.97908,0.67869,1.16017,0.94733,0.93267,0.97856,0.7612,0.852,0.4578,1.12726,0.0096766,0.0096766,0.0096766
51,2445.82,0.96914,0.67344,1.15566,0.94544,0.9398,0.98062,0.76418,0.84914,0.44768,1.12546,0.00967,0.00967,0.00967
52,2492.97,0.96573,0.66973,1.15533,0.93575,0.94124,0.97837,0.76262,0.84439,0.45262,1.12169,0.0096634,0.0096634,0.0096634
53,2540.24,0.96931,0.66853,1.15613,0.94206,0.93952,0.98053,0.76674,0.84435,0.44718,1.12086,0.0096568,0.0096568,0.0096568
54,2587.5,0.95897,0.6604,1.15105,0.93298,0.94772,0.97962,0.76808,0.84346,0.44626,1.12012,0.0096502,0.0096502,0.0096502
55,2634.51,0.95864,0.66392,1.15184,0.94845,0.9382,0.98104,0.76739,0.84316,0.44297,1.12087,0.0096436,0.0096436,0.0096436
56,2681.79,0.95898,0.65186,1.15126,0.94867,0.94163,0.98224,0.76931,0.83972,0.43667,1.1186,0.009637,0.009637,0.009637
57,2728.91,0.96014,0.65343,1.15096,0.95158,0.94558,0.98311,0.77153,0.83358,0.43141,1.1157,0.0096304,0.0096304,0.0096304
58,2775.85,0.96448,0.65461,1.15487,0.95489,0.94803,0.98325,0.77261,0.83398,0.42843,1.11483,0.0096238,0.0096238,0.0096238
59,2823.24,0.95597,0.64744,1.14636,0.95355,0.95334,0.98362,0.77362,0.83046,0.42265,1.11231,0.0096172,0.0096172,0.0096172
60,2870.26,0.95394,0.64015,1.14387,0.95176,0.949,0.98314,0.77362,0.8329,0.42185,1.11366,0.0096106,0.0096106,0.0096106
61,2917.37,0.95621,0.64633,1.14921,0.95572,0.95432,0.98454,0.77468,0.83041,0.41987,1.11186,0.009604,0.009604,0.009604
62,2964.68,0.95024,0.64145,1.1475,0.95462,0.95386,0.98492,0.77699,0.82943,0.41575,1.11016,0.0095974,0.0095974,0.0095974
63,3011.65,0.95178,0.63107,1.14424,0.95944,0.95017,0.9853,0.77867,0.82791,0.4134,1.10906,0.0095908,0.0095908,0.0095908
64,3058.88,0.94863,0.63314,1.14237,0.95179,0.95782,0.98486,0.77872,0.82737,0.41129,1.109,0.0095842,0.0095842,0.0095842
65,3106.03,0.9485,0.63072,1.14508,0.94638,0.96012,0.9847,0.77925,0.82762,0.41074,1.10884,0.0095776,0.0095776,0.0095776
66,3153.29,0.94733,0.62559,1.14113,0.94706,0.96009,0.98536,0.77977,0.8265,0.40858,1.10847,0.009571,0.009571,0.009571
67,3200.45,0.94406,0.61963,1.13677,0.96032,0.9516,0.98588,0.78081,0.8238,0.40521,1.10678,0.0095644,0.0095644,0.0095644
68,3247.51,0.93963,0.61541,1.13804,0.96428,0.95219,0.98604,0.78109,0.82221,0.40423,1.10518,0.0095578,0.0095578,0.0095578
69,3294.74,0.94372,0.619,1.13785,0.95719,0.95944,0.986,0.78194,0.82172,0.40254,1.10371,0.0095512,0.0095512,0.0095512
70,3341.81,0.9422,0.61644,1.13893,0.95522,0.96069,0.98604,0.78263,0.82061,0.4014,1.10255,0.0095446,0.0095446,0.0095446
71,3388.79,0.94032,0.61565,1.13647,0.95848,0.96247,0.98641,0.78301,0.81962,0.3989,1.10218,0.009538,0.009538,0.009538
72,3436.05,0.93671,0.61724,1.13506,0.95921,0.96316,0.98693,0.78401,0.81816,0.39647,1.10166,0.0095314,0.0095314,0.0095314
73,3483.11,0.93912,0.61124,1.13726,0.96478,0.96243,0.98716,0.78443,0.81829,0.39258,1.10203,0.0095248,0.0095248,0.0095248
74,3530.22,0.93727,0.61023,1.13645,0.96478,0.96275,0.98732,0.78483,0.81785,0.39163,1.10157,0.0095182,0.0095182,0.0095182
75,3577.51,0.93248,0.60088,1.13216,0.96236,0.96516,0.98715,0.78466,0.81689,0.38938,1.1011,0.0095116,0.0095116,0.0095116
76,3624.44,0.93449,0.60406,1.13299,0.9654,0.96202,0.98686,0.78579,0.8156,0.38903,1.10039,0.009505,0.009505,0.009505
77,3671.57,0.93343,0.59888,1.13139,0.96628,0.96399,0.987,0.78651,0.81423,0.38858,1.09975,0.0094984,0.0094984,0.0094984
78,3718.84,0.93648,0.60389,1.13488,0.96514,0.96374,0.98659,0.78673,0.81387,0.38678,1.09916,0.0094918,0.0094918,0.0094918
